'','','',''
AKJ,旭川空港,Asahikawa Airport,旭川
AOJ,青森空港,Aomori Airport,青森
AXT,秋田空港,Akita Airport,秋田
CTS,新千歳空港,New Chitose Airport,札幌（新千歳）
FKS,福島空港,Fukushima Airport,福島
FUK,福岡空港,Fukuoka Airport,福岡
HIJ,広島空港,Hiroshima Airport,広島
HKD,函館空港,Hakodate Airport,函館
HND,東京国際空港（羽田空港）,Tokyo International Airport (Haneda),東京（羽田）
IBR,茨城空港,Ibaraki Airport,茨城
KIJ,新潟空港,Niigata Airport,新潟
KIX,関西国際空港,Kansai International Airport,大阪（関西）
KKJ,北九州空港,Kitakyushu Airport,北九州
KMJ,熊本空港,Kumamoto Airport,熊本
KMQ,小松空港,Komatsu Airport,小松
KOJ,鹿児島空港,Kagoshima Airport,鹿児島
MYJ,松山空港,Matsuyama Airport,松山
NGO,中部国際空港,Chubu Centrair International Airport,名古屋
NGS,長崎空港,Nagasaki Airport,長崎
NRT,成田国際空港,Narita International Airport,東京（成田）
OIT,大分空港,Oita Airport,大分
OKA,那覇空港,Naha Airport,那覇
OKJ,岡山空港,Okayama Airport,岡山
SDJ,仙台空港,Sendai Airport,仙台
TAK,高松空港,Takamatsu Airport,高松
TOY,富山空港,Toyama Airport,富山
