'',''
1,札幌市　中央区
1,札幌市　北区
1,札幌市　東区
1,札幌市　白石区
1,札幌市　豊平区
1,札幌市　南区
1,札幌市　西区
1,札幌市　厚別区
1,札幌市　手稲区
1,札幌市　清田区
1,函館市
1,小樽市
1,旭川市
1,室蘭市
1,釧路市
1,帯広市
1,北見市
1,夕張市
1,岩見沢市
1,網走市
1,留萌市
1,苫小牧市
1,稚内市
1,美唄市
1,芦別市
1,江別市
1,赤平市
1,紋別市
1,士別市
1,名寄市
1,三笠市
1,根室市
1,千歳市
1,滝川市
1,砂川市
1,歌志内市
1,深川市
1,富良野市
1,登別市
1,恵庭市
1,伊達市
1,北広島市
1,石狩市
1,北斗市
1,石狩郡　当別町
1,石狩郡　新篠津村
1,松前郡　松前町
1,松前郡　福島町
1,上磯郡　知内町
1,上磯郡　木古内町
1,亀田郡　七飯町
1,茅部郡　鹿部町
1,茅部郡　森町
1,二海郡　八雲町
1,山越郡　長万部町
1,檜山郡　江差町
1,檜山郡　上ノ国町
1,檜山郡　厚沢部町
1,爾志郡　乙部町
1,奥尻郡　奥尻町
1,瀬棚郡　今金町
1,久遠郡　せたな町
1,島牧郡　島牧村
1,寿都郡　寿都町
1,寿都郡　黒松内町
1,磯谷郡　蘭越町
1,虻田郡　ニセコ町
1,虻田郡　真狩村
1,虻田郡　留寿都村
1,虻田郡　喜茂別町
1,虻田郡　京極町
1,虻田郡　倶知安町
1,岩内郡　共和町
1,岩内郡　岩内町
1,古宇郡　泊村
1,古宇郡　神恵内村
1,積丹郡　積丹町
1,古平郡　古平町
1,余市郡　仁木町
1,余市郡　余市町
1,余市郡　赤井川村
1,空知郡　南幌町
1,空知郡　奈井江町
1,空知郡　上砂川町
1,夕張郡　由仁町
1,夕張郡　長沼町
1,夕張郡　栗山町
1,樺戸郡　月形町
1,樺戸郡　浦臼町
1,樺戸郡　新十津川町
1,雨竜郡　妹背牛町
1,雨竜郡　秩父別町
1,雨竜郡　雨竜町
1,雨竜郡　北竜町
1,雨竜郡　沼田町
1,雨竜郡　幌加内町
1,上川郡　鷹栖町
1,上川郡　東神楽町
1,上川郡　当麻町
1,上川郡　比布町
1,上川郡　愛別町
1,上川郡　上川町
1,上川郡　東川町
1,上川郡　美瑛町
1,空知郡　上富良野町
1,空知郡　中富良野町
1,空知郡　南富良野町
1,勇払郡　占冠村
1,上川郡　和寒町
1,上川郡　剣淵町
1,上川郡　下川町
1,中川郡　美深町
1,中川郡　音威子府村
1,中川郡　中川町
1,増毛郡　増毛町
1,留萌郡　小平町
1,苫前郡　苫前町
1,苫前郡　羽幌町
1,苫前郡　初山別町
1,天塩郡　遠別町
1,天塩郡　天塩町
1,天塩郡　幌延町
1,宗谷郡　猿払村
1,枝幸郡　浜頓別町
1,枝幸郡　中頓別町
1,枝幸郡　枝幸町
1,天塩郡　豊富町
1,礼文郡　礼文町
1,利尻郡　利尻町
1,利尻郡　利尻富士町
1,網走郡　美幌町
1,網走郡　津別町
1,斜里郡　斜里町
1,斜里郡　清里町
1,斜里郡　小清水町
1,常呂郡　訓子府町
1,常呂郡　置戸町
1,常呂郡　佐呂間町
1,紋別郡　遠軽町
1,紋別郡　湧別町
1,紋別郡　滝上町
1,紋別郡　興部町
1,紋別郡　西興部村
1,紋別郡　雄武町
1,網走郡　大空町
1,虻田郡　豊浦町
1,有珠郡　壮瞥町
1,白老郡　白老町
1,勇払郡　厚真町
1,虻田郡　洞爺湖町
1,勇払郡　安平町
1,勇払郡　むかわ町
1,沙流郡　日高町
1,沙流郡　平取町
1,新冠郡　新冠町
1,浦河郡　浦河町
1,様似郡　様似町
1,幌泉郡　えりも町
1,日高郡　新ひだか町
1,河東郡　音更町
1,河東郡　士幌町
1,河東郡　上士幌町
1,河東郡　鹿追町
1,上川郡　新得町
1,上川郡　清水町
1,河西郡　芽室町
1,河西郡　中札内村
1,河西郡　更別村
1,広尾郡　大樹町
1,広尾郡　広尾町
1,中川郡　幕別町
1,中川郡　池田町
1,中川郡　豊頃町
1,中川郡　本別町
1,足寄郡　足寄町
1,足寄郡　陸別町
1,十勝郡　浦幌町
1,釧路郡　釧路町
1,厚岸郡　厚岸町
1,厚岸郡　浜中町
1,川上郡　標茶町
1,川上郡　弟子屈町
1,阿寒郡　鶴居村
1,白糠郡　白糠町
1,野付郡　別海町
1,標津郡　中標津町
1,標津郡　標津町
1,目梨郡　羅臼町
1,色丹郡　色丹村
1,国後郡　泊村
1,国後郡　留夜別村
1,択捉郡　留別村
1,紗那郡　紗那村
1,蘂取郡　蘂取村
2,青森市
2,弘前市
2,八戸市
2,黒石市
2,五所川原市
2,十和田市
2,三沢市
2,むつ市
2,つがる市
2,平川市
2,東津軽郡　平内町
2,東津軽郡　今別町
2,東津軽郡　蓬田村
2,東津軽郡　外ヶ浜町
2,西津軽郡　鰺ヶ沢町
2,西津軽郡　深浦町
2,中津軽郡　西目屋村
2,南津軽郡　藤崎町
2,南津軽郡　大鰐町
2,南津軽郡　常盤村
2,南津軽郡　田舎館村
2,北津軽郡　板柳町
2,北津軽郡　鶴田町
2,北津軽郡　中泊町
2,上北郡　野辺地町
2,上北郡　七戸町
2,上北郡　六戸町
2,上北郡　横浜町
2,上北郡　東北町
2,上北郡　六ヶ所村
2,上北郡　おいらせ町
2,下北郡　大間町
2,下北郡　東通村
2,下北郡　風間浦村
2,下北郡　佐井村
2,三戸郡　三戸町
2,三戸郡　五戸町
2,三戸郡　田子町
2,三戸郡　南部町
2,三戸郡　階上町
2,三戸郡　新郷村
3,盛岡市
3,宮古市
3,大船渡市
3,花巻市
3,北上市
3,久慈市
3,遠野市
3,一関市
3,陸前高田市
3,釜石市
3,二戸市
3,八幡平市
3,奥州市
3,岩手郡　雫石町
3,岩手郡　葛巻町
3,岩手郡　岩手町
3,岩手郡　滝沢村
3,紫波郡　紫波町
3,紫波郡　矢巾町
3,和賀郡　西和賀町
3,胆沢郡　金ヶ崎町
3,西磐井郡　平泉町
3,東磐井郡　藤沢町
3,気仙郡　住田町
3,気仙郡　三陸町
3,上閉伊郡　大槌町
3,下閉伊郡　山田町
3,下閉伊郡　岩泉町
3,下閉伊郡　田野畑村
3,下閉伊郡　普代村
3,九戸郡　軽米町
3,九戸郡　野田村
3,九戸郡　九戸村
3,九戸郡　洋野町
3,二戸郡　安代町
3,二戸郡　一戸町
4,仙台市　青葉区
4,仙台市　宮城野区
4,仙台市　若林区
4,仙台市　太白区
4,仙台市　泉区
4,石巻市
4,塩竈市
