M010003309,北海道岩見沢市栗沢町万字寿町１番地３
M010006389,北海道岩見沢市北４条西１４丁目２－１７
M010009078,北海道美唄市東三条南五丁目五の一
M010010159,北海道芦別市東頼城町２３番地の１
M010000349,北海道深川市音江町字向陽６５８番地４
M010004006,北海道深川市宇摩１８２２番地
M010006905,北海道由仁町三川錦町５６番地
M010006384,北海道栗山町朝日４丁目３０番地１６
M010007959,北海道栗山町字三日月３６番地４
M010000634,北海道浦臼町字浦臼内１７２－７３４
M010003316,北海道浦臼町字浦臼内４１６－３
M010004290,北海道新十津川町字中央５１９－８
M010004291,北海道新十津川町字花月３０番地１２
M010004292,北海道新十津川町字中央３２４－６
M010004806,北海道新十津川町字総進１３７３
M010000066,北海道江別市弥生町１２－１６
M010001711,北海道江別市大麻中町１番地２０
M010003524,北海道江別市高砂町１７－４
M010004805,北海道江別市大麻高町４番地７
M010006385,北海道江別市豊幌美咲町１４－２１
M010007956,北海道江別市大麻高町２７－１１
M010008580,北海道江別市文京台４９番地６ひまわり館
M010010707,北海道江別市牧場町４４－３
M010006903,北海道千歳市清流４丁目４番１６号
M010010621,北海道千歳市白樺５丁目１９－３
M010000350,北海道恵庭市恵央町４番地１１
M010002670,北海道恵庭市島松旭町二丁目６番２３
M010010627,北海道恵庭市漁町１０３番地
M010000632,北海道北広島市大曲柏葉二丁目６－１４
M010000067,北海道石狩市浜町２７
M010000633,北海道当別町字中小屋２０３９－３
M010001965,北海道当別町ビトエ１１３０番地３９
M010001149,北海道小樽市勝納町７－２４勝納町ゲストハウスA
M010001152,北海道小樽市勝納町７－２４勝納町ゲストハウスB
M010001162,北海道小樽市東雲町１番１９ＡＭＳ東雲205
M010001163,北海道小樽市東雲町１番１９ＡＭＳ東雲206
M010001164,北海道小樽市東雲町１番１９ＡＭＳ東雲306
M010001165,北海道小樽市東雲町１番１９ＡМＳ東雲405
M010001166,北海道小樽市東雲町１番１９ＡМＳ東雲502
M010001167,北海道小樽市東雲町１番１９ＡМＳ東雲503
M010001168,北海道小樽市東雲町１番１９ＡＭＳ東雲703
M010001169,北海道小樽市東雲町１番１９ＡＭＳ東雲806
M010001170,北海道小樽市東雲町１番１９ＡМＳ東雲905
M010001171,北海道小樽市東雲町１番１９ＡМＳ海宝楼106
M010001172,北海道小樽市東雲町１番１９ＡМＳ海宝楼406
M010001175,北海道小樽市東雲町１番１９ＡМＳ海宝楼706
M010001389,北海道小樽市東雲町１番１９ＡМＳ海宝楼407
M010001390,北海道小樽市東雲町１番１９ＡМＳ海宝楼409
M010001392,北海道小樽市東雲町１番１９ＡＭＳ海宝楼507
M010001393,北海道小樽市東雲町１番１９ＡМＳ海宝楼607
M010001397,北海道小樽市東雲町１番１９ＡМＳ海宝楼701
M010001399,北海道小樽市東雲町１番１９ＡМＳ海宝楼702
M010001681,北海道小樽市桂岡町１９番１９号
M010001719,北海道小樽市東雲町１番１９ＡМＳ海宝楼302
M010001720,北海道小樽市東雲町１番１９ＡＭＳ海宝楼307
M010001721,北海道小樽市東雲町１ＡＭＳ東雲103
M010001722,北海道小樽市東雲町１番１９ＡＭＳ海宝楼201
M010001723,北海道小樽市東雲町１番１９ＡМＳ海宝楼207
M010001725,北海道小樽市東雲町７ＡМＳ水天宮407
M010001726,北海道小樽市東雲町１ＡＭＳ東雲101
M010001727,北海道小樽市東雲町１番１９ＡＭＳ海宝楼807
M010001728,北海道小樽市東雲町１ＡＭＳ東雲801
M010001729,北海道小樽市東雲町１ＡＭＳ東雲701
M010002677,北海道小樽市東雲町７ＡМＳ水天宮302
M010002679,北海道小樽市銭函二丁目１０オーシャンハイツ大東501、502
M010002680,北海道小樽市銭函二丁目１０オーシャンハイツ大東503、505、506、507
M010003330,北海道小樽市信香町６番６号
M010003345,北海道小樽市東雲町１ＡＭＳ東雲307
M010004002,北海道小樽市住吉町５－１２
M010004008,北海道小樽市オタモイ１－３７－２６コーポ松ヶ丘1
M010004804,北海道小樽市末広町１９番１０号
M010005244,北海道小樽市稲穂５丁目１５番５号
M010005736,北海道小樽市潮見台２－５－９ヴェールメゾンB1
M010005737,北海道小樽市潮見台２－５－９ヴェールメゾンB2
M010005740,北海道小樽市銭函３―３４３―１―A6
M010005741,北海道小樽市銭函３―３４３―１―B1
M010005749,北海道小樽市東雲町１－１９ＡＭＳ海宝樓101
M010006013,北海道小樽市緑１丁目７番３号
M010006017,北海道小樽市花園４－７－１９
M010006907,北海道小樽市奥沢１丁目１０番５号
M010007573,北海道小樽市錦町１８－２０
M010007957,北海道小樽市潮見台１－８－３１
M010007958,北海道小樽市若竹町１０－１５
M010008587,北海道小樽市入船３丁目３－１８
M010009115,北海道小樽市若竹町３１－２７
M010009122,北海道小樽市緑３丁目９－１０
M010009788,北海道小樽市若竹町１９-２５
M010011193,北海道小樽市若松１丁目６番８号サンシャインパーク103
M010011366,北海道小樽市東雲町１番１９ＡМＳ東雲302
M010011367,北海道小樽市東雲町１番１９ＡＭＳ東雲705
M010011368,北海道小樽市東雲町１番１９ＡМＳ東雲707
M010011369,北海道小樽市東雲町１番１９ＡＭＳ東雲807
M010011370,北海道小樽市東雲町１番１９ＡМＳ海宝楼802
M010011510,北海道小樽市長橋１丁目１４－１８
M010000348,北海道蘭越町湯里１６番１７
M010001137,北海道蘭越町字湯里６９１番地１０
M010001140,北海道蘭越町字湯里１７－６９Ｔｈｅ　Ｂａｃｋｃｏｕｎｔｒｙ　Ｃａｂｉｎ
M010001967,北海道蘭越町昆布町１１５－１
M010005247,北海道蘭越町蘭越町４７２番地８
M010005248,北海道蘭越町蘭越町４７２番地８
M010005249,北海道蘭越町蘭越町４７２番地９
M010009123,北海道蘭越町字湯里６９９番地８９ＤＲ　ＶＩＬＬＡＧＥ　ＣＨＡＬＥＴ
M010010620,北海道蘭越町字湯里１２１－７８
M010011316,北海道蘭越町昆布町２４－８１
M010005256,北海道ニセコ町字曽我３５１番４スエーデンハウス
M010005257,北海道ニセコ町字曽我３５１番５０カナディアンハウス
M010005733,北海道ニセコ町字近藤７３３－８
M010006016,北海道ニセコ町字有島１０６－１
M010007960,北海道ニセコ町東山４５－７ハーモニーハウス
M010010629,北海道ニセコ町字曽我７５６番地１４ＰＯＷＤＥＲ　ＢＬＵＥ
M010011197,北海道ニセコ町字中央通６０－７リースペースニセコ駅前313、314、315
M010011310,北海道ニセコ町ニセコ４３１－２
M010001974,北海道真狩村光９９番地
M010006044,北海道留寿都村字留寿都２００－６２
M010008446,北海道留寿都村字留寿都１２３番地８４
M010008447,北海道留寿都村字三ノ原５９番地１
M010009795,北海道留寿都村字泉川３２－２９
M010010708,北海道留寿都村字留寿都４５－２
M010011508,北海道留寿都村泉川３２－２２
M010000160,北海道倶知安町字富士見５１４－１４
M010001708,北海道倶知安町字山田７６－４８Ｔｈｅ　Ｗｈｉｔｅ　Ｈｏｕｓｅ
M010001710,北海道倶知安町字山田７６－１５Ｔｈｅ　Ｈｕｎｔｅｒｓ　Ｌｏｄｇｅ
M010004019,北海道倶知安町北２条西２丁目１７番地１ＭＯＤＥ－ＫＣ・Ⅱ108
M010005255,北海道倶知安町南２条西３丁目２番地１　１７番地２
M010005259,北海道倶知安町樺山３０－１８２，１８３Ｊ　ＲＯＣ
M010006019,北海道倶知安町山田１５５－１３３
M010006387,北海道倶知安町南７条西１丁目１１－６
M010008445,北海道倶知安町字山田１７０番地１１Ｖｉｌｌａ　Ｆｕｙｕ
M010009079,北海道倶知安町字高砂町２０８－４４
M010009080,北海道倶知安町字樺山１３４番地３８
M010009081,北海道倶知安町字樺山１３４番地３９
M010009082,北海道倶知安町字樺山１３４番地４０
M010009117,北海道倶知安町北４条西４　６－２６
