M140000044,神奈川県横浜市鶴見区潮田町３－１３５－５
M140000135,神奈川県横浜市青葉区美しが丘４－１７－２３
M140000148,神奈川県横浜市南区三春台１０２－７
M140000307,神奈川県横浜市青葉区藤が丘１－２０－８
M140000359,神奈川県横浜市南区永楽町２－２６－３エルフラット横浜大通り公園205
M140000360,神奈川県横浜市南区永楽町２－２６－３エルフラット横浜大通り公園206
M140000444,神奈川県横浜市南区平楽１３７－２５－３階
M140000445,神奈川県横浜市南区平楽１３７－２５－２階
M140000461,神奈川県横浜市港南区港南２－１－７新貝荘102
M140000601,神奈川県横浜市中区諏訪町２６
M140000624,神奈川県横浜市南区別所２−２９−７
M140000791,神奈川県横浜市保土ケ谷区新井町６９－１０
M140000998,神奈川県横浜市神奈川区白幡南町５－２５
M140001081,神奈川県横浜市南区中村町１－５５－７－103
M140001200,神奈川県横浜市港北区仲手原１－８－３４アーバンハイム２－Ｂ
M140001211,神奈川県横浜市都筑区中川中央１丁目３８番３号アモルビル301
M140001322,神奈川県横浜市港北区篠原町２８３１－１４ジャスミンハウス101
M140001332,神奈川県横浜市保土ケ谷区狩場町２６－４ロマーノＭ狩場町102
M140001337,神奈川県横浜市南区睦町１－１６－１
M140001338,神奈川県横浜市保土ケ谷区狩場町２６－４ロマーノＭ狩場町201
M140001341,神奈川県横浜市保土ケ谷区狩場町２６－４ロマーノＭ狩場町202
M140001349,神奈川県横浜市港北区鳥山町９８－２
M140001353,神奈川県横浜市神奈川区上反町１－１０－１９
M140001415,神奈川県横浜市磯子区杉田３－１１－９
M140001426,神奈川県横浜市南区伏見町２－２
M140001644,神奈川県横浜市青葉区荏田北１－１１－４
M140001904,神奈川県横浜市保土ケ谷区峰岡町１−９４−３９
M140001927,神奈川県横浜市緑区長津田６－２０－３
M140001938,神奈川県横浜市南区永楽町２－２６－３エルフラット横浜大通り公園202
M140002096,神奈川県横浜市神奈川区旭ケ丘８－２１Ｆハウス
M140002098,神奈川県横浜市西区南浅間町４－１０ＴＳ横浜第一102
M140002112,神奈川県横浜市中区山下町１４３－１２
M140002116,神奈川県横浜市港南区芹が谷５丁目１６－４
M140002118,神奈川県横浜市緑区長津田７－９－１７－３
M140002271,神奈川県横浜市港北区日吉２－６－２０ビーハイヴ202
M140002569,神奈川県横浜市戸塚区戸塚町４１６８
M140002575,神奈川県横浜市中区伊勢佐木町７－１５５－１３
M140002615,神奈川県横浜市金沢区東朝比奈１丁目１５番１２号
M140002758,神奈川県横浜市緑区長津田７－７－１
M140002806,神奈川県横浜市西区東ケ丘２６番地４０号イーストヒル201
M140002809,神奈川県横浜市西区東ケ丘２６－４０イーストヒル101
M140002834,神奈川県横浜市港北区日吉本町３－２－１０
M140003027,神奈川県横浜市中区山下町１３２メイゾンチュトワイエ中華街602
