M260000134,京都市北区小山北上総町３５番地 
M260001218,京都市北区紫野石龍町５番地４ 
M260000210,京都市上京区鞍馬口通寺町西入新御霊口町２８５番地１２１ 
M260001396,京都市左京区山端壱町田町８－７７ 
M260001933,京都市左京区下鴨芝本町３７番地３ 
M260001522,京都市中京区新町通二条下る頭町１３番地 
M260001658,京都市中京区室町通竹屋町下る鏡屋町５１番地４ 
M260001718,京都市中京区聚楽廻中町４８番地１６ 
M260001207,京都市東山区本町十六丁目３１３番地４ 
M260001630,京都市東山区大和大路通四条下る四丁目小松町５７０番地５　東山八坂通１０７号 
M260001716,京都市東山区泉涌寺東林町４３番地１１，４３番地１３ 
M260001536,京都市下京区大宮通松原下る西側上五条町３９９番地 
M260001664,京都市下京区中堂寺北町７－１ 
M260001327,京都市南区東九条河西町４３－４ 
M260001668,京都市南区四ツ塚町１９－２ 
M260000484,京都市右京区西京極午塚町１０１番地 
M260000481,京都市西京区松室庄田町１－２ 
M260001672,京都市西京区下津林中島町１－４２３ 
M260000367,京都市伏見区深草坊山町３５－７ 
M260001581,京都市伏見区舞台町５４番地１１ 
M260002877,京都市北区鷹峯千束町２番地５ 
M260002878,京都市北区出雲路松ノ下町２４番地３ 
M260002751,京都市左京区田中玄京町１２ 
M260002754,京都市左京区花脊原地町１２０番地，１１５番地，１１９番地 
M260002945,京都市右京区嵯峨野有栖川町４０番地１ 
M260003370,京都市山科区東野中井ノ上町５－３６，５－３７　１階 
M260003371,京都市山科区東野中井ノ上町５－３６，５－３７　２階 
M260003927,京都市左京区下鴨前萩町２４－２ 
M260004237,京都市東山区新宮川町通松原下る西御門町４７４番地１，４７０番地３，４７０番地４　ヴィオレッタ五条２０２号 
M260003696,京都市山科区竹鼻竹ノ街道町６５－１ 
M260003930,京都市左京区松ヶ崎三反長町４－４ 
M260003953,京都市中京区堀川通錦小路下る錦堀川町６３０番地 
M260004022,京都市右京区鳴滝蓮花寺町１番地４ 
M260004024,京都市右京区太秦中山町６番地１ 
M260004334,京都市東山区今熊野総山町１番地１２ 
M260004085,京都市西京区下津林水掛町８－５ 
M260004411,京都市左京区聖護院中町１１番地 
M260004412,京都市左京区聖護院中町１１番地 
M260004055,京都市中京区二条通新町西入正行寺町６８０番地 
M260004056,京都市右京区太秦下刑部町２１－２ 
M260004356,京都市上京区日暮通丸太町下る四町目８０２－６０ 
M260004407,京都市伏見区新町９丁目４０６番地 
M260005021,京都市東山区清水四丁目１６１番地４，１５７番地１ 
