民宿くろしま,沖縄県竹富町黒島1948　,0980-85-4280,minkuro2006@yahoo.co.jp
ロハスヴィラ,沖縄県那覇市牧志2-1-6　ブレスビル,098-867-7757,info@lohas-cg.com
LIFE IS A JOURNEY （ライフイズアジャーニー）,沖縄県読谷村長浜３０番地　,098-921-6666,lijourney@water.ocn.ne.jp
ペンション 喫茶　南の楽園,沖縄県糸満市小波蔵１４５-１　,098-997-4005,minaminorakuen5@ybb.ne.jp
沖縄の宿あんどん,沖縄県那覇市牧志2-1-18　,098-861-2778,info@okinawayado.com
ＹＯＭＩＴＡＮ　ＶＩＬＬＡＧＥ　ＢＡＣＫＰＡＣＫＥＲＳ,沖縄県読谷村大湾５１７?１　　18ハウス,098-956-3083,yomitan_village_backpackers@hotmail.com
TOUGH＆COCONUT(タフ＆ココナッツ),沖縄県うるま市昆布１８３２?６１　,098-894-9100,bartough@hotmail.com
Coco Terrace(ｺｺﾃﾗｽ）,沖縄県石垣市新川　,0980-88-5519,info@cocoterrace.jp
貸別荘　ふくぎハウス,沖縄県本部町備瀬６０９?２　,0980-48-3808,maeshiro@zenno.jp
ステラリゾート,沖縄県那覇市牧志3-6-41　3F　,,info@stella-cg.com
ミコノスリゾート南風,沖縄県那覇市泊2-4-6　,098-863-1183,info@minamikaze-cg.com
民宿月桃,沖縄県那覇市松尾1-16-24　,098-861-7555,minsyukugetto32@hotmail.com
マリンスポーツ＆ゲストハウス　ハンモック。,沖縄県読谷村長浜716-2　,090-4982-9399,nagahama716-2@kt009.com
旅の宿でいご,沖縄県宮古島市平良字下里108-1-2F　,0980-72-6086,thaihoon@mco.ne.jp
ゲストハウス桜,沖縄県読谷村長浜８８６番地　,098-958-4055,fsakurai@siren.ocn.ne.jp
Pension SION　ペンション　シオン,沖縄県石垣市新川１５８３?２７１　,0980-82-9775,chura-sea54@athena.ocn.ne.jp
素泊まり宿サントール,沖縄県石垣市石垣市宮良１０５３?１２　,0980-84-4312,suntoru13@tontonme.ne.jp
一棟貸しペンションちゅらさんご,沖縄県石垣市白保2107番地　,090-3794-8247,churasango@kfx.biglobe.ne.jp
NAGAHAMA154,沖縄県読谷村沖縄県中頭郡読谷村字長浜154番地　nagahama154house@yahoo.co.jp,098-958-6033,nagahama154good@yahoo.co.jp
民宿たつや旅館,沖縄県那覇市辻一丁目９?２１　,098-860-7422,kiire@nirai.ne.jp
ゲストハウスLOVE PEACE!!沖縄,沖縄県沖縄市城前町3-10　都レストラン3F,098-982-1084,ots@mta.biglobe.ne.jp
ゲストハウスおさるのおやど,沖縄県那覇市若狭3-24-3　,098-963-7252,info@saruyado.com
ゲストハウス　べバス,沖縄県宜野湾市普天間１?２７?７?２階　,090-9092-9234,okinawa_bebas@yahoo.co.jp
ゲストハウス　そよ風,沖縄県那覇市那覇市松尾1-11-7　,098-861-7740,gh-soyokaze@infoseek.jp
ゲストハウス　M２CLUB,沖縄県那覇市若狭3-23-21　秦川ビル１Ｆ,098-862-5121,m2guesthouse@m2-club.com
沖縄 ホステルバーニーズ ブレイクファースト,沖縄県那覇市久茂地3-23-10　よなはビル6F（久茂地公民館向かい）,098-861-7047,info@burneys-breakfast.com
民宿　うえだ荘,沖縄県糸満市字糸満989番地61　,098-992-3132,yoyaku@uedasou.com
コテージ　伊計　海の唄,沖縄県うるま市与那城伊計471番地　,098-978-9557,info@uminouta.com
貸し別荘ぐしちん,沖縄県本部町本部町字具志堅２８４　,090-1088-2119,gushichin@oboe.ocn.ne.jp
民宿ルリスズメ,沖縄県石垣市大川538-27　,098-083-9155,rurisuzumeyoyaku@yahoo.co.jp
民宿カミーノ,沖縄県恩納村真栄田１５００　,098-894-7850,info@camino-okinawa.com
民宿　やんばるくいな荘,沖縄県国頭村辺土名１２７８?６　,0980-41-5506,kuina2006@mail.goo.ne.jp
おやど,沖縄県北谷町吉原１１０１?３　,098-921-7463,oyado@io.ocn.ne.jp
Ｆｕｋｕｇｉ　Ｔｅｒｒａｃｅ　（フクギテラス）,沖縄県本部町字備瀬458番地　,0980-48-2911,info@fukugi-terrace.com
あかまたぁ荘,沖縄県うるま市栄野比７１６?８　,098-972-5240,akamata@304893.info.just.st
旅の宿,沖縄県石垣市石垣市登野城７５　,0980-82-8038,tabinoyado@car.ocn.ne.jp
ペンション美ら島,沖縄県本部町瀬底４９０２番地　,0980-47-5633,tyurasima@movie.ocn.ne.jp
ゲストハウス・フェーヌカジ,沖縄県宮古島市沖縄県宮古島市平良字下里133　,,ad@miyakojima-feenukaji.com
ホテルタイプの素泊まり宿　すどまり館,沖縄県石垣市美崎町4-12　3Ｆ　,0980-88-7739,sudomari-kan@qp.boo.jp
ダイビングショップ＆民宿　ヒートウェーブ,沖縄県本部町備瀬571　,0980-51-7160,info@heatwave-okinawa.com
なきじん海辺の自然学校,沖縄県今帰仁村仲宗根９８５　,0980-56-5881,umibe@crux.ocn.ne.jp
琉球古民家ちゃんや?,沖縄県本部町備瀬666-2　,0980-48-2689,ryuukyuukominka_chanyaa@yahoo.co.jp
