M470001879,那覇市首里末吉町２－１８０－１
M470003955,那覇市山下町１４－７
M470003998,那覇市安里３－８－１６ 具志堅アパート１F
M470004573,那覇市若狭３－３－２３
M470004851,那覇市安里１－８－２４ ショーリセＭⅡ201
M470004852,那覇市安里１－８－２４ ショーリセＭⅡ202
M470004853,那覇市安里１－８－２４ ショーリセＭⅡ203
M470004854,那覇市安里１－８－２４ ショーリセＭⅡ301
M470004855,那覇市安里１－８－２４ ショーリセＭⅡ302
M470004867,那覇市安里１－８－２４ ショーリセＭⅡ303
M470004952,那覇市樋川１－３－１４
M470005901,那覇市泉崎２－１０５－１５ ルミエール泉崎201
M470005902,那覇市泉崎２－１０５－１５ ルミエール泉崎301
M470005903,那覇市泉崎２－１０５－１５ ルミエール泉崎302
M470005904,那覇市泉崎２－１０５－１５ ルミエール泉崎401
M470005905,那覇市泉崎２－１０５－１５ ルミエール泉崎402
M470005925,那覇市牧志３－８－１５
M470006588,那覇市仲井真２１２－５
M470006959,那覇市安里１－８－２４ ショーリセＭⅡ401
M470006961,那覇市安里１－８－２４ ショーリセＭⅡ402
M470006964,那覇市安里１－８－２４ ショーリセＭⅡ403
M470006965,那覇市安里１－８－２４ ショーリセＭⅡ501
M470006966,那覇市安里１－８－２４ ショーリセＭⅡ602
M470006969,那覇市安里１－８－２４ ショーリセＭⅡ901
M470007236,那覇市繁多川１－３－２７
M470008105,那覇市大道７８－１４ ２Ｆ
M470008238,那覇市東町１８－２１ HIイン東町2F
M470008370,那覇市久茂地２－１９－２０ 国吉ビル203
M470008372,那覇市久茂地２－１９－２０ 国吉ビル205
M470008374,那覇市久茂地２－１９－２０ 国吉ビル305
M470008785,那覇市真嘉比３－１９－３５ ブルーシエルSeigo2A
M470009144,那覇市字宇栄原７２２－３
M470009145,那覇市字宇栄原７２２
M470009157,那覇市久米２－５－１５ メゾンアルパ３Ｂ
M470009159,那覇市久米２－５－１５ メゾンアルパ４Ａ
M470009161,那覇市久米２－５－１５ メゾンアルパ４Ｂ
M470009739,那覇市安謝２－５－４ テラスリゾート新都心３０１
M470009741,那覇市安謝２－５－４ テラスリゾート新都心３０２
M470009742,那覇市安謝２－５－４ テラスリゾート新都心３０３
M470009743,那覇市安謝２－５－４ テラスリゾート新都心３０５
M470009744,那覇市安謝２－５－４ テラスリゾート新都心５０１
M470009745,那覇市安謝２－５－４ テラスリゾート新都心５０２
M470010020,那覇市字安里３８８－６９ サカエールニライカナイ３F
M470010021,那覇市字安里３８８－６９ サカエールニライカナイ４F
M470010040,那覇市銘苅１－１－２ ショーリセＭ新都心２０１
M470010041,那覇市銘苅１－１－２ ショーリセＭ新都心２０４
M470010042,那覇市銘苅１－１－２ ショーリセＭ新都心３０１
M470010043,那覇市銘苅１－１－２ ショーリセＭ新都心３０３
M470010044,那覇市銘苅１－１－２ ショーリセＭ新都心５０１
M470010046,那覇市銘苅１－１－２ ショーリセＭ新都心５０４
M470010048,那覇市銘苅１－１－２ ショーリセＭ新都心６０１
M470010049,那覇市銘苅１－１－２ ショーリセＭ新都心６０３
M470010166,那覇市字安里１３４
M470010167,那覇市曙２－１５－９
M470010168,那覇市宇栄原３－１９－３２
M470010169,那覇市字大道１７２番地３ 譜久里アパート１０１
M470010321,那覇市若狭３－１２－９
M470010408,那覇市安里２－９－９ショーリセＭd4
M470010410,那覇市安里２－９－９ショーリセＭf4
M470010412,那覇市安里２－９－９ショーリセＭa6
M470010413,那覇市安里２－９－９ショーリセＭb6
M470010414,那覇市安里２－９－９ショーリセＭb7
M470010415,那覇市安里２－９－９ショーリセＭc7
M470010416,那覇市安里２－９－９ショーリセＭc8
M470010610,那覇市久茂地３丁目２９番１０
M470010715,那覇市銘苅１－１－２ ショーリセＭ新都心６０２
M470010716,那覇市銘苅１－１－２ ショーリセＭ新都心６０４
M470010718,那覇市銘苅１－１－２ ショーリセＭ新都心７０１
M470011267,那覇市銘苅１－１１－１４ ショーリセＭ那覇新都心502
M470011268,那覇市銘苅１－１１－１４ ショーリセＭ那覇新都心602
M470011269,那覇市銘苅１－１１－１４ ショーリセＭ那覇新都心603
M470011270,那覇市銘苅１－１１－１４ ショーリセＭ那覇新都心901
M470011942,那覇市安里２－９－９ ショーリセＭc4
M470011944,那覇市安里２－９－９ ショーリセＭd6
M470011948,那覇市安里２－９－９ ショーリセＭe6
M470011949,那覇市安里２－９－９ ショーリセＭa7
M470011950,那覇市安里２－９－９ ショーリセＭd7
M470011951,那覇市安里２－９－９ ショーリセＭdx1
M470011952,那覇市安里２－９－９ ショーリセＭa5
M470011954,那覇市安里２－９－９ ショーリセＭd5
M470011955,那覇市安里２－９－９ ショーリセＭf5
M470011956,那覇市安里２－９－９ ショーリセＭd8
M470011957,那覇市安里２－９－９ ショーリセＭe8
M470011958,那覇市安里２－９－９ ショーリセＭf8
M470011959,那覇市安里２－９－９ ショーリセＭdx2
M470011978,那覇市東町１８－２１ ミッキーハウス302
M470011980,那覇市東町１８－２１ ミッキーハウス303
M470011981,那覇市東町１８－２１ ミッキーハウス401
M470011983,那覇市東町１８－２１ ミッキーハウス402
M470011984,那覇市東町１８－２１ ミッキーハウス403
M470011985,那覇市東町１８－２１ ミッキーハウス501
M470011986,那覇市東町１８－２１ ミッキーハウス502
