M270000017,大阪府大阪市東住吉区照ヶ丘矢田2-6-16 1F 
M270000060,大阪府大阪市東住吉区照ヶ丘矢田2-6-16 2,3F
M270000095,大阪府大阪市中央区本町橋８－５ 
M270000097,大阪府大阪市平野区喜連6－1－6 
M270000125,大阪府大阪市城東区中浜2-6-6 
M270000154,大阪府大阪市都島区毛馬町1-13-1 
M270000172,大阪府大阪市住吉区長居西2-9-7 
M270000179,大阪府大阪市住之江区御崎7-9-13 
M270000215,大阪府大阪市城東区永田4-2-3 
M270000248,大阪府大阪市浪速区立葉2-2-3 
M270000331,大阪府大阪市港区八幡屋3-15-19 
M270000355,大阪府大阪市大正区泉尾1-19-10 
M270000377,大阪府大阪市西区江之子島1-7-24　アウトバーンGK1003号室 
M270000378,大阪府大阪市西区江之子島1-7-24　アウトバーンGK306号室 
M270000379,大阪府大阪市天王寺区上本町8-1-8川口ビル301 
M270000380,大阪府大阪市都島区中野町4-5-6 
M270000383,大阪府大阪市浪速区敷津西２－１－３３渚マンション2F 
M270000414,大阪府大阪市東淀川区東中島4-5-9 
M270000462,大阪府大阪市東成区大今里西2-1-31エグゼ大阪城東403 
M270000584,大阪府大阪市西区九条南1-5-15 
M270000688,大阪府大阪市浪速区元町2-6-30　トレジャープレイス101 
M270000689,大阪府大阪市浪速区元町2-6-30　トレジャープレイス301 
M270000908,大阪府大阪市浪速区戎本町2-6-20 
M270000949,大阪府大阪市旭区高殿4-22-33　マンションSGI京街道401 
M270000950,大阪府大阪市旭区高殿4-22-33　マンションSGI京街道402 
M270000967,大阪府大阪市生野区小路東4-16-18 
M270000968,大阪府大阪市東成区中道4-4-24 
M270000969,大阪府大阪市生野区小路東2-20-14 
M270001198,大阪府大阪市東成区大今里2-32-24 
M270001350,大阪府大阪市西成区旭１－１１－２６ 
M270001356,大阪府大阪市住吉区長居東1-7-34長居公園ハウス604 
M270001403,大阪府大阪市住之江区浜口東1－1－87 
M270001404,大阪府大阪市住之江区浜口東1－1－87 
M270001501,大阪府大阪市東成区大今里2-33-4 
M270001671,大阪府大阪市港区築港2-7-33Universal Bay201号室 
M270001674,大阪府大阪市港区築港2-7-33Universal Bay202号室 
M270001676,大阪府大阪市港区築港2-7-33Universal Bay203号室 
M270001678,大阪府大阪市港区築港2-7-33Universal Bay204号室 
M270001680,大阪府大阪市港区築港2-7-33Universal Bay205号室 
M270001682,大阪府大阪市港区築港2-7-33Universal Bay206号室 
M270001684,大阪府大阪市港区築港2-7-33Universal Bay207号室 
M270001687,大阪府大阪市港区築港2-7-33Universal Bay208号室 
M270001689,大阪府大阪市港区築港2-7-33Universal Bay301号室 
M270001690,大阪府大阪市港区築港2-7-33Universal Bay302号室 
M270001691,大阪府大阪市港区築港2-7-33Universal Bay303号室 
M270001692,大阪府大阪市港区築港2-7-33Universal Bay304号室 
M270001693,大阪府大阪市港区築港2-7-33Universal Bay305号室 
M270001695,大阪府大阪市港区築港2-7-33Universal Bay306号室 
M270001699,大阪府大阪市港区築港2-7-33Universal Bay307号室 
M270001701,大阪府大阪市港区築港2-7-33Universal Bay308号室 
M270001775,大阪府大阪市福島区海老江2－5－2 
M270001849,大阪府大阪市都島区片町1-7-25リノ天満橋403 
M270001850,大阪府大阪市都島区片町1-7-25リノ天満橋502 
M270001991,大阪府大阪市北区野崎町１－２６ 
M270002006,大阪府大阪市福島区福島1-2-17meetMe梅田西701号室 
M270002008,大阪府大阪市福島区福島1-2-17meetMe梅田西202号室 
M270002011,大阪府大阪市福島区福島1-2-17meetMe梅田西801号室 
M270002012,大阪府大阪市福島区福島1-2-17meetMe梅田西301号室 
M270002013,大阪府大阪市福島区福島1-2-17meetMe梅田西901号室 
M270002014,大阪府大阪市福島区福島1-2-17meetMe梅田西401号室 
M270002016,大阪府大阪市福島区福島1-2-17meetMe梅田西303号室 
M270002017,大阪府大阪市福島区福島1-2-17meetMe梅田西201号室 
M270002018,大阪府大阪市福島区福島1-2-17meetMe梅田西501号室 
M270002019,大阪府大阪市旭区高殿4-20-3 
M270002021,大阪府大阪市福島区福島1-2-17meetMe梅田西403号室 
M270002022,大阪府大阪市福島区福島1-2-17meetMe梅田西802号室 
M270002023,大阪府大阪市福島区福島1-2-17meetMe梅田西203号室 
M270002025,大阪府大阪市福島区福島1-2-17meetMe梅田西503号室 
M270002026,大阪府大阪市福島区福島1-2-17meetMe梅田西702号室 
M270002027,大阪府大阪市福島区福島1-2-17meetMe梅田西502号室 
M270002028,大阪府大阪市北区大淀中３－４－７ 
M270002029,大阪府大阪市福島区福島1-2-17meetMe梅田西902号室 
M270002031,大阪府大阪市福島区福島1-2-17meetMe梅田西603号室 
M270002034,大阪府大阪市福島区福島1-2-17meetMe梅田西803号室 
M270002035,大阪府大阪市福島区福島1-2-17meetMe梅田西703号室 
M270002036,大阪府大阪市福島区福島1-2-17meetMe梅田西402号室 
M270002037,大阪府大阪市福島区福島1-2-17meetMe梅田西302号室 
M270002038,大阪府大阪市西成区花園南1-6-11 
M270002039,大阪府大阪市生野区生野西4-22-18 
M270002043,大阪府大阪市住之江区浜口西2－3－13　メゾンカルレ26　205/303.305.402.403号室 
M270002044,大阪府大阪市淀川区新北野2-9-5 
M270002051,大阪府大阪市住之江区北加賀屋5-5-32　部屋１ 
M270002052,大阪府大阪市東淀川区豊新1-18-17 ハイツ順203 
M270002053,大阪府大阪市東淀川区豊新1-18-17 ハイツ順303 
M270002054,大阪府大阪市東淀川区豊新1-18-17 ハイツ順201 
M270002055,大阪府大阪市東淀川区豊新1-18-17 ハイツ順301 
M270002056,大阪府大阪市淀川区東三国5-1-8　102 
M270002057,大阪府大阪市淀川区東三国5-13-32　101 
M270002058,大阪府大阪市浪速区難波中２－４－２　スペース難波４０６号室 
M270002059,大阪府大阪市浪速区難波中２－４－２　スペース難波５０２号室 
M270002060,大阪府大阪市浪速区難波中２－４－２　スペース難波６０２号室 
M270002061,大阪府大阪市浪速区難波中２－４－２　スペース難波６０６号室 
M270002062,大阪府大阪市浪速区難波中２－４－２　スペース難波７０３号室 
M270002205,大阪府大阪市北区天満3-4-8-504 
M270002207,大阪府大阪市北区天満3-4-8-601 
M270002211,大阪府大阪市北区大淀中２-６-１３ 
