M130000232,東京都北区滝野川６－１４－１４
M130000243,東京都北区田端新町１－２６－７
M130000324,東京都北区豊島７－２６－１０
M130000381,東京都北区田端１－２０－７　1階
M130000449,東京都北区田端５－６－１４Ｙ’ｓＨｏｕｓｅ
M130000511,東京都北区十条仲原１－５－８平川ビル
M130000561,東京都北区東十条３－１２－６
M130000832,東京都北区志茂５－２７－７
M130001123,東京都北区上十条２－２０－６
M130001128,東京都北区上十条２－５－１３号十条会館
M130001422,東京都北区王子５－９－５
M130001556,東京都北区浮間３－３０－３ＢＯＯＭ北赤羽102
M130001582,東京都北区赤羽北１－１２－１５
M130001622,東京都北区上中里２－８－１６メゾン平岡101
M130001785,東京都北区西ケ原３－２６－７
M130001868,東京都北区上中里２－２６－７
M130002293,東京都北区志茂４－３２－３
M130002460,東京都北区岩淵町１２－８
M130002522,東京都北区志茂３－２５－３
M130002846,東京都北区中十条１－１８－２０
M130003204,東京都北区中十条３－１７－８
M130003403,東京都北区王子本町２－２４－１７仲澤マンション202
M130003599,東京都北区田端６－４－１０
M130003752,東京都北区滝野川２－１１－４メゾンド滝野川101
M130003757,東京都北区滝野川２－１１－４メゾンド滝野川102
M130003759,東京都北区滝野川２－１１－４メゾンド滝野川103
M130003762,東京都北区滝野川２－１１－４メゾンド滝野川104
M130003937,東京都北区西ケ原１－１－２ハイツ寺口302
M130003940,東京都北区西ケ原１－１－２ハイツ寺口301
M130003943,東京都北区西ケ原１－１－２ハイツ寺口402
M130004685,東京都北区上十条３－１１－１三陽マンション201
M130004688,東京都北区上十条３－１１－１三陽マンション202
M130004689,東京都北区上十条３－１１－１三陽マンション203
M130004928,東京都北区王子２－１４－７
M130004939,東京都北区滝野川１－７６－８
M130005391,東京都北区赤羽南２－８－１３
M130005471,東京都北区滝野川６－６４－１０－２０１プラネックス滝野川
M130005716,東京都北区西ケ原４－６０－１１　2階
M130005719,東京都北区西ケ原４－６０－１１　1階
M130005753,東京都北区王子３－７－７
M130005754,東京都北区滝野川６－６４－１０－２０２プラネックス滝野川
M130006282,東京都北区田端３－４－１０
M130006401,東京都北区豊島２－２６－２０
M130006679,東京都北区田端１－７－１６バリーロマーネ302
M130006694,東京都北区上十条３－１１－１三陽マンション102
M130006695,東京都北区上十条３－１１－１三陽マンション103
M130006696,東京都北区上十条３－１１－１三陽マンション301
M130006697,東京都北区上十条３－１１－１三陽マンション303
M130007247,東京都北区中里３－１８－２
M130007556,東京都北区西ケ原１－２－７第二マルワビル301
M130007772,東京都北区上中里１－４７－３２
M130008389,東京都北区昭和町２－１６－３昭和町大起ビル４階
M130008393,東京都北区昭和町２－１６－３昭和町大起ビル５階
M130008485,東京都北区西が丘１－２４－１西が丘マンション201
M130008487,東京都北区西が丘１－２４－１西が丘マンション202
M130008490,東京都北区西が丘１－２４－１西が丘マンション203
M130008491,東京都北区西が丘１－２４－１西が丘マンション301
M130008492,東京都北区西が丘１－２４－１西が丘マンション302
M130008493,東京都北区西が丘１－２４－１西が丘マンション303
M130008494,東京都北区西が丘１－２４－１西が丘マンション401
M130008495,東京都北区西が丘１－２４－１西が丘マンション402
M130008496,東京都北区西が丘１－２４－１西が丘マンション403
M130008811,東京都北区昭和町１－３－１６ＳＨＩ－ＨＯＵＳＥ3F
M130008836,東京都北区神谷２－２９－３神谷ＴＫビル201
M130008837,東京都北区神谷２－２９－３神谷ＴＫビル202
M130008839,東京都北区神谷２－２９－３神谷ＴＫビル203
M130008840,東京都北区神谷２－２９－３神谷ＴＫビル301
M130008849,東京都北区田端新町１－２０－１１メゾンブラン田端1002
M130008850,東京都北区田端新町１－２０－１１メゾンブラン田端1003
M130009013,東京都北区中里１－３７－８クレセンスソフィア
M130009148,東京都北区田端新町１－１１－３アーガス小笹1Ｆ
M130009149,東京都北区田端新町１－１１－３アーガス小笹204
M130009535,東京都北区滝野川６－３２－７
M130009732,東京都北区西ケ原１－１－１１コンフォート駒込403
M130010485,東京都北区田端新町３－５－７安岡ビル7F
M130010722,東京都北区西ヶ原１－１－１１コンフォート駒込501
M130010894,東京都北区志茂５ー１６ー５第一末広荘１号室
M130010895,東京都北区志茂１－２５－８
