M130000053,東京都港区麻布十番３－９－６ スバル川島301,
M130000251,東京都港区新橋５－８－１３ Ｄｅｅ９ビル ３Ｆ・４Ｆ,03-3232-7139
M130000356,東京都港区六本木３－３－１７ ソレアード六本木502,090-1667-9157
M130000357,東京都港区六本木３－３－１７ ソレアード六本木602,090-1667-9157
M130000358,東京都港区六本木３－３－１７ ソレアード六本木702,090-1667-9157
M130001063,東京都港区高輪３－１６－２ 小関邸2Ｆ,
M130001065,東京都港区高輪３－１６－２ K-HOUSE101,03-3448-0378  
M130001226,東京都港区南麻布１－１９－３,
M130001228,東京都港区赤坂２－２２－１２ グラナード六本木201 ,090-5410-7741
M130001229,東京都港区赤坂２－２２－１２ グラナード六本木202 ,090-5410-7741
M130001235,東京都港区西麻布４－１０－１８   
M130001506,東京都港区赤坂４－１０－２１ フジヒロビル301 ,080-3000-2677
M130001507,東京都港区赤坂４－１０－２１ フジヒロビル302 ,080-3000-2677
M130001511,東京都港区東麻布１－１７－９ アネックス東麻布602,03-5570-1118  
M130001516,東京都港区東麻布１－１７－９ アネックス東麻布601,03-5570-1118  
M130001980,東京都港区西麻布３－３－１５,
M130001998,東京都港区赤坂２－８－１３ 赤坂こうゆうビル903,03-6457-8029
M130002003,東京都港区東麻布１－１７－９ アネックス東麻布701,03-5570-1118  
M130002009,東京都港区南青山５－１－２５ メゾンドラミア1201,
M130002020,東京都港区南麻布３－１７－１２ ザ・ハウス103,
M130002030,東京都港区南青山５－１－２５ メゾンドラミア701,03-6811-0919
M130002032,東京都港区南麻布３－１７－１２ ザ・ハウス102,
M130002066,東京都港区芝５－２３－１４,080-4742-0307
M130002087,東京都港区西麻布２－２１－８,
M130002101,東京都港区芝２－１８－９ 1F,080-9405-0531
M130002103,東京都港区芝２－１８－９ 2F,080-9405-0531
M130002110,東京都港区海岸１－１３－１９ 浜松町ビジネスマンション320, 03-3406-4200
M130002113,東京都港区海岸１－１３－１９ 浜松町ビジネスマンション404, 03-3406-4200
M130002119,東京都港区六本木３－３－１７ ソレアード六本木601,090-1667-9157
M130002125,東京都港区赤坂２－１９－１２ ラピス赤坂2 102,03-6689-2000
M130002144,東京都港区三田２－１７－４３,
M130002288,東京都港区六本木３－３－１７ ソレアード六本木501,090-1667-9157  
M130002333,東京都港区白金台３－１０－１７,
M130002637,東京都港区赤坂２－２０－１８ カームフラッツ３F,03-3346-1830
M130002640,東京都港区三田１－１０－１４,
M130002774,東京都港区西新橋１－１１－６ ＩＴ１ 201,03-4560-2349
M130002776,東京都港区西新橋１－１１－６ ＩＴ１ 202,03-4560-2349
M130002777,東京都港区西新橋１－１１－６ ＩＴ１ 301,03-4560-2349
M130002779,東京都港区西新橋１－１１－６ ＩＴ１ 302,03-4560-2349
M130002780,東京都港区西新橋１－１１－６ ＩＴ１ 401,03-4560-2349
M130002784,東京都港区西新橋１－１１－６ ＩＴ１ 402,03-4560-2349
M130002787,東京都港区西新橋１－１１－６ ＩＴ１ 501,03-4560-2349
M130002788,東京都港区西新橋１－１１－６ ＩＴ１ 601,03-4560-2349
M130002792,東京都港区西新橋１－１１－６ ＩＴ１ 701,03-4560-2349
M130002793,東京都港区西新橋１－１１－６ ＩＴ１ 801,03-4560-2349
M130002938,東京都港区六本木３－３－１７ ソレア－ド六本木402,090-4438-7312
M130002940,東京都港区赤坂２－２２－１２ グラナード六本木402,050-3718-9661
M130003101,東京都港区赤坂８－１２－１３ アゼリア赤坂304,03-4560-2349
M130003267,東京都港区六本木３－３－１７ ソレアード六本木603,03-6432-0569
M130003271,東京都港区六本木３－３－１７ ソレアード六本木703,03-6432-0569
