M130000003,東京都世田谷区世田谷２－２８－２１
M130000057,東京都世田谷区奥沢２－４４－１５ 
M130000058,東京都世田谷区三軒茶屋２－４３－２０ 錦ビル401
M130000074,東京都世田谷区宮坂３－１３－２
M130000094,東京都世田谷区松原５－３７－３ 
M130000167,東京都世田谷区世田谷２－２７－１９ 
M130000168,東京都世田谷区北沢５－３８－２１ 
M130000180,東京都世田谷区下馬１－２９－５
M130000196,東京都世田谷区粕谷１－１１－２５ 
M130000201,東京都世田谷区北沢１－４２－２０
M130000233,東京都世田谷区代沢４－１６－６ 栗林邸1F
M130000234,東京都世田谷区上馬３－１１－７
M130000268,東京都世田谷区若林２－３０－５－２
M130000337,東京都世田谷区赤堤２－３６－３ 
M130000352,東京都世田谷区代田６－１２－１６ ケイフラット 1F 
M130000353,東京都世田谷区北沢１－３１－１ Ｔ－ＢＡＳＥ池ノ上102
M130000354,東京都世田谷区北沢１－３１－１ Ｔ－ＢＡＳＥ池ノ上201
M130000366,東京都世田谷区奥沢３－１８－１９
M130000393,東京都世田谷区上野毛３－１４－１３ THE AOCA TOKYO 上野毛201
M130000394,東京都世田谷区上野毛３－１４－１３ THE AOCA TOKYO 上野毛202
M130000395,東京都世田谷区上野毛３－１４－１３ THE AOCA TOKYO 上野毛301
M130000396,東京都世田谷区上野毛３－１４－１３ THE AOCA TOKYO 上野毛302
M130000397,東京都世田谷区上野毛３－１４－１３ THE AOCA TOKYO 上野毛401
M130000398,東京都世田谷区上野毛３－１４－１３ THE AOCA TOKYO 上野毛402
M130000399,東京都世田谷区上野毛３－１４－１３ THE AOCA TOKYO 上野毛501
M130000611,東京都世田谷区弦巻３－２５－２１ ハイツ西岡302 
M130000626,東京都世田谷区砧５－６ー９
M130000656,東京都世田谷区下馬２－２６－２２ 
M130000658,東京都世田谷区上北沢５－２４－７ ローラシャンテ201
M130000792,東京都世田谷区北沢２－６－８ 202
M130000793,東京都世田谷区北沢２－６－８ 201
M130000995,東京都世田谷区東玉川２－２９－１３ 
M130001002,東京都世田谷区太子堂２－７－２６
M130001003,東京都世田谷区赤堤４－４２－１４ メゾンヴェルテ赤堤103 
M130001008,東京都世田谷区太子堂５－１２－３
M130001023,東京都世田谷区北沢２－２７－２ キタザワＣＳハウス 103
M130001026,東京都世田谷区南烏山６－３５－５
M130001107,東京都世田谷区代沢２－１２－１９ 
M130001108,東京都世田谷区用賀４－３４－２４ 
M130001110,東京都世田谷区深沢２－１５－５ 
M130001113,東京都世田谷区池尻２－３３－７
M130001319,東京都世田谷区北烏山３－２４－９
M130001320,東京都世田谷区北沢１－２９－１６ ＳＩＧイートンハウス 203
M130001362,東京都世田谷区北沢１－２９－１６ ＳＩＧイートンハウス 202
M130001366,東京都世田谷区若林５－１７－１１
M130001767,東京都世田谷区三軒茶屋２－４１－２ ダイヤアクティ 602
M130001883,東京都世田谷区三軒茶屋２－２９－７ セタガヤフラット202
M130001888,東京都世田谷区三軒茶屋２－２９－７ セタガヤフラット203
M130001941,東京都世田谷区三軒茶屋２－２９－７ セタガヤフラット205
M130002000,東京都世田谷区駒沢３－２１－１９ パークハウス駒沢201 
M130002001,東京都世田谷区駒沢３－２１－１９ パークハウス駒沢202 
M130002004,東京都世田谷区南烏山３－１６－１２
M130002078,東京都世田谷区代田２－１１－１０ フラットアイ305 
M130002097,東京都世田谷区桜丘５－６－１２
M130002099,東京都世田谷区世田谷２－３－２ ワセダアパート1F 
M130002100,東京都世田谷区世田谷２－３－２ ワセダアパート2F 
M130002805,東京都世田谷区北沢２－３８－９ 秋元ビル 202
M130002825,東京都世田谷区用賀３－１７－３ カルチェブラン用賀101
M130002827,東京都世田谷区用賀３－１７－３ カルチェブラン用賀103
M130002829,東京都世田谷区用賀３－１７－３ カルチェブラン用賀105
M130002831,東京都世田谷区用賀３－１７－３ カルチェブラン用賀106
M130002833,東京都世田谷区用賀３－１７－３ カルチェブラン用賀201
M130002835,東京都世田谷区用賀３－１７－３ カルチェブラン用賀203
M130002837,東京都世田谷区用賀３－１７－３ カルチェブラン用賀205
M130002838,東京都世田谷区用賀３－１７－３ カルチェブラン用賀306
M130002840,東京都世田谷区駒沢３－２５－２３ ホワイトテラス桜新町101 
M130002841,東京都世田谷区駒沢３－２５－２３ ホワイトテラス桜新町103 
M130002842,東京都世田谷区駒沢３－２５－２３ ホワイトテラス桜新町108 
