M130001027,東京都豊島区池袋4-27-8 201
M130001030,東京都豊島区池袋4-27-8 203
1階,東京都豊島区要町1-13-11 1階
B棟,東京都豊島区上池袋2-19-2 B棟
Valencia102,東京都豊島区上池袋3-4-13 Valencia102
Valencia202,東京都豊島区上池袋3-4-13 Valencia202
Valencia203,東京都豊島区上池袋3-4-13 Valencia203
ｴﾐﾅｽ池袋1101,東京都豊島区南池袋2-47-4 ｴﾐﾅｽ池袋1101
ｴﾐﾅｽ池袋702,東京都豊島区南池袋2-47-4 ｴﾐﾅｽ池袋702
ｴﾐﾅｽ池袋902,東京都豊島区南池袋2-47-4 ｴﾐﾅｽ池袋902
ガーデン大塚301,東京都豊島区南大塚3-38-14 ガーデン大塚301
ガーデン大塚302,東京都豊島区南大塚3-38-14 ガーデン大塚302
ガーデン大塚603,東京都豊島区南大塚3-38-14 ガーデン大塚603
ガーデン大塚604,東京都豊島区南大塚3-38-14 ガーデン大塚604
ガーデン大塚605,東京都豊島区南大塚3-38-14 ガーデン大塚605
ガーデン大塚803,東京都豊島区南大塚3-38-14 ガーデン大塚803
ｻﾝｼｬｲﾝｺｰｹﾝﾌﾟﾗｻﾞ604,東京都豊島区東池袋3-2-4 ｻﾝｼｬｲﾝｺｰｹﾝﾌﾟﾗｻﾞ604
ｻﾝｼｬｲﾝｺｰｹﾝﾌﾟﾗｻﾞ701,東京都豊島区東池袋3-2-4 ｻﾝｼｬｲﾝｺｰｹﾝﾌﾟﾗｻﾞ701
ｻﾝｼｬｲﾝｺｰｹﾝﾌﾟﾗｻﾞ707,東京都豊島区東池袋3-2-4 ｻﾝｼｬｲﾝｺｰｹﾝﾌﾟﾗｻﾞ707
メゾンオノ101,東京都豊島区駒込2-9-5 メゾンオノ101
メゾンオノ202,東京都豊島区駒込2-9-5 メゾンオノ202
メゾン文月201,東京都豊島区池袋本町4-5-3 メゾン文月201
寿ハイツ101,東京都豊島区池袋2-29-2 寿ハイツ101
新光池袋第3コーポ101,東京都豊島区池袋3-9-6 新光池袋第3コーポ101
新光池袋第3コーポ102,東京都豊島区池袋3-9-6 新光池袋第3コーポ102
泰共ﾌﾗｯﾄﾋﾞﾙ603,東京都豊島区西池袋3-30-11 泰共ﾌﾗｯﾄﾋﾞﾙ603
泰共ﾌﾗｯﾄﾋﾞﾙ605,東京都豊島区西池袋3-30-11 泰共ﾌﾗｯﾄﾋﾞﾙ605
泰共ﾌﾗｯﾄﾋﾞﾙ606,東京都豊島区西池袋3-30-11 泰共ﾌﾗｯﾄﾋﾞﾙ606
泰共ﾌﾗｯﾄﾋﾞﾙ607,東京都豊島区西池袋3-30-11 泰共ﾌﾗｯﾄﾋﾞﾙ607
泰共ﾌﾗｯﾄﾋﾞﾙ610,東京都豊島区西池袋3-30-11 泰共ﾌﾗｯﾄﾋﾞﾙ610
泰共ﾌﾗｯﾄﾋﾞﾙ612,東京都豊島区西池袋3-30-11 泰共ﾌﾗｯﾄﾋﾞﾙ612
泰共ﾌﾗｯﾄﾋﾞﾙ6B,東京都豊島区西池袋3-30-11 泰共ﾌﾗｯﾄﾋﾞﾙ6B
白鳥ハイツ301,東京都豊島区池袋2-23-23 白鳥ハイツ301
豊原物産ビル2F,東京都豊島区北大塚3-32-10 豊原物産ビル2F
ガーデン大塚201,東京都豊島区南大塚3-38-14 ガーデン大塚201
ガーデン大塚202,東京都豊島区南大塚3-38-14 ガーデン大塚202
ベイトシャローム406,東京都豊島区駒込2-7-18 ベイトシャローム406
ガーデン大塚702,東京都豊島区南大塚3-38-14 ガーデン大塚702
ｸﾞﾗﾝﾄﾞﾒｿﾞﾝTJ303,東京都豊島区池袋1-16-18 ｸﾞﾗﾝﾄﾞﾒｿﾞﾝTJ303
M130002647,東京都豊島区池袋2-33-16 
恒華ﾊﾟﾚｽ池袋201,東京都豊島区池袋2-72-4 恒華ﾊﾟﾚｽ池袋201
恒華ﾊﾟﾚｽ池袋203,東京都豊島区池袋2-72-4 恒華ﾊﾟﾚｽ池袋203
恒華ﾊﾟﾚｽ池袋206,東京都豊島区池袋2-72-4 恒華ﾊﾟﾚｽ池袋206
恒華ﾊﾟﾚｽ池袋303,東京都豊島区池袋2-72-4 恒華ﾊﾟﾚｽ池袋303
恒華ﾊﾟﾚｽ池袋306,東京都豊島区池袋2-72-4 恒華ﾊﾟﾚｽ池袋306
恒華ﾊﾟﾚｽ池袋401,東京都豊島区池袋2-72-4 恒華ﾊﾟﾚｽ池袋401
恒華ﾊﾟﾚｽ池袋402,東京都豊島区池袋2-72-4 恒華ﾊﾟﾚｽ池袋402
恒華ﾊﾟﾚｽ池袋406,東京都豊島区池袋2-72-4 恒華ﾊﾟﾚｽ池袋406
恒華ﾊﾟﾚｽ池袋503,東京都豊島区池袋2-72-4 恒華ﾊﾟﾚｽ池袋503
恒華ﾊﾟﾚｽ池袋506,東京都豊島区池袋2-72-4 恒華ﾊﾟﾚｽ池袋506
北大塚12共同ビル701,東京都豊島区北大塚2-12-7 北大塚12共同ビル701
COSMY-Ⅱ201,東京都豊島区池袋2-39-5 COSMY-Ⅱ201
COSMY-Ⅱ203,東京都豊島区池袋2-39-5 COSMY-Ⅱ203
COSMY-Ⅱ205,東京都豊島区池袋2-39-5 COSMY-Ⅱ205
COSMY-Ⅱ305,東京都豊島区池袋2-39-5 COSMY-Ⅱ305
COSMY-Ⅱ402,東京都豊島区池袋2-39-5 COSMY-Ⅱ402
